Start Time,Duration,Speaker,Character Count,Word Count
00:00:00.240,1s,George Churchwell,17,3
00:00:01.870,2s,George Churchwell,24,4
00:00:04.080,4s,George Churchwell,61,11
00:00:09.030,10s,George Churchwell,175,31
00:00:19.630,4s,George Churchwell,54,11
00:00:24.300,4s,George Churchwell,67,15
00:00:28.570,12s,George Churchwell,183,35
00:00:40.690,2s,George Churchwell,37,8
00:00:43.370,7s,George Churchwell,129,21
00:00:50.980,4s,George Churchwell,66,13
00:00:55.210,3s,George Churchwell,57,12
00:00:59.440,5s,George Churchwell,83,20
00:01:04.989,5s,George Churchwell,72,12
00:01:09.900,2s,George Churchwell,26,6
00:01:11.930,9s,George Churchwell,90,21
00:01:21.280,10s,George Churchwell,156,30
00:01:31.970,10s,George Churchwell,143,26
00:01:42.440,3s,George Churchwell,39,6
00:01:47.320,3s,George Churchwell,32,5
00:01:50.500,9s,George Churchwell,142,31
00:02:00.970,4s,George Churchwell,58,11
00:02:04.530,3s,George Churchwell,43,9
00:02:07.970,11s,David Mantica--Co-host!!!,182,33
00:02:19.270,4s,George Churchwell,60,12
00:02:24.070,9s,George Churchwell,110,23
00:02:33.490,14s,George Churchwell,214,44
00:02:47.450,1s,George Churchwell,15,4
00:02:50.220,1s,David Mantica--Co-host!!!,7,2
00:02:51.470,6s,George Churchwell,86,16
00:02:57.170,0s,David Mantica--Co-host!!!,4,1
00:02:57.800,2s,George Churchwell,19,5
00:02:59.690,3s,George Churchwell,36,8
00:03:02.680,5s,George Churchwell,46,9
00:03:08.500,10s,George Churchwell,98,21
00:03:18.640,4s,George Churchwell,58,14
00:03:23.710,4s,George Churchwell,64,12
00:03:27.550,10s,George Churchwell,139,25
00:03:38.390,1s,George Churchwell,2,1
00:03:40.050,2s,George Churchwell,30,7
00:03:42.510,8s,George Churchwell,137,30
00:03:50.690,4s,George Churchwell,70,16
00:03:55.060,4s,George Churchwell,76,15
00:04:00.010,1s,George Churchwell,8,2
00:04:02.590,5s,George Churchwell,75,16
00:04:07.550,3s,George Churchwell,49,11
00:04:10.980,4s,George Churchwell,49,11
00:04:15.050,10s,George Churchwell,152,30
00:04:25.470,5s,George Churchwell,71,16
00:04:30.890,8s,George Churchwell,130,29
00:04:39.570,12s,George Churchwell,213,45
00:04:51.940,5s,David Mantica--Co-host!!!,89,18
00:04:56.960,7s,George Churchwell,128,24
00:05:04.050,7s,George Churchwell,108,20
00:05:11.450,5s,George Churchwell,76,15
00:05:16.080,2s,George Churchwell,30,4
00:05:18.760,5s,George Churchwell,67,13
00:05:25.230,10s,George Churchwell,142,26
00:05:35.460,9s,George Churchwell,88,16
00:05:44.860,15s,George Churchwell,194,39
00:06:00.050,7s,George Churchwell,79,17
00:06:07.740,11s,George Churchwell,161,32
00:06:19.230,2s,George Churchwell,32,6
