Start Time,Duration,Speaker,Character Count,Word Count
00:00:06.430,9s,Lara Hill,125,22
00:00:15.370,3s,Lara Hill,37,6
00:00:19.160,17s,David Mantica--Co-host!!!,277,46
00:00:36.620,3s,David Mantica--Co-host!!!,43,7
00:00:39.280,6s,David Mantica--Co-host!!!,114,26
00:00:45.800,10s,Lara Hill,170,35
00:00:55.820,1s,David Mantica--Co-host!!!,10,3
00:00:56.830,11s,Lara Hill,176,31
00:01:07.640,8s,Loyd Thompson,108,20
00:01:15.540,11s,Loyd Thompson,182,35
00:01:27.880,3s,Lara Hill,35,6
00:01:30.050,3s,Lara Hill,47,9
00:01:34.070,3s,Samuel Parri,43,8
00:01:37.740,11s,Samuel Parri,160,31
00:01:49.940,2s,Lara Hill,12,2
00:01:51.720,4s,Lara Hill,56,11
00:01:55.410,12s,Jonathan Stephens (he/him),164,29
00:02:08.380,2s,Lara Hill,38,8
00:02:10.930,3s,Lara Hill,53,10
00:02:14.280,2s,Lara Hill,12,2
00:02:16.190,1s,David Mantica--Co-host!!!,13,3
00:02:18.090,1s,Marc Balcer,9,2
00:02:19.650,2s,Marc Balcer,20,5
00:02:21.560,4s,Marc Balcer,32,6
00:02:27.060,1s,David Mantica--Co-host!!!,33,6
00:02:28.610,1s,Lara Hill,13,2
00:02:34.670,2s,David Mantica--Co-host!!!,28,3
00:02:37.080,13s,Lara Hill,200,38
00:02:50.930,1s,Lara Hill,4,1
00:02:52.390,27s,Lara Hill,448,81
00:03:19.300,25s,Lara Hill,347,60
00:03:44.270,17s,Lara Hill,222,44
00:04:01.610,2s,David Mantica--Co-host!!!,24,5
00:04:04.080,2s,David Mantica--Co-host!!!,38,9
00:04:06.380,4s,Lara Hill,73,16
00:04:10.600,3s,David Mantica--Co-host!!!,31,5
00:04:13.510,5s,David Mantica--Co-host!!!,68,14
00:04:18.329,25s,David Mantica--Co-host!!!,454,78
00:04:43.670,14s,David Mantica--Co-host!!!,206,39
00:04:57.690,28s,David Mantica--Co-host!!!,572,109
00:05:25.860,5s,David Mantica--Co-host!!!,104,18
00:05:30.950,7s,David Mantica--Co-host!!!,126,23
00:05:37.680,6s,David Mantica--Co-host!!!,102,19
00:05:43.390,18s,David Mantica--Co-host!!!,346,64
00:06:02.620,8s,David Mantica--Co-host!!!,96,18
00:06:11.000,5s,David Mantica--Co-host!!!,77,15
00:06:18.070,9s,David Mantica--Co-host!!!,136,27
